volume,chapter,title,central_thesis,necessary_premises,dependencies,novel_contribution,strongest_objection_or_review_question,structural_function,provisional_disposition,source_count,status
02-conditionalism,17-rationality-without-foundations,Rationality Without Foundations,"Rationality Without Foundations develops the central proposition framed by its subtitle, “Pancritical rationalism and evolutionary epistemology.”",Prior linked arguments plus chapter steps: Popper's Half-Escape; Everything Is Criticizable; Three Objections; Rationality as an Evolutionary Strategy,book/02-conditionalism/01-what-is-philosophy-for.md; book/02-conditionalism/10-against-faith.md; book/02-conditionalism/19-the-discipline-of-updating.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/05-truth-machines.md,Canonical book treatment of Rationality Without Foundations: Pancritical rationalism and evolutionary epistemology.,"Does the argument establish “Pancritical rationalism and evolutionary epistemology” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,18-sacred-coherence,Sacred Coherence,"Sacred Coherence develops the central proposition framed by its subtitle, “A personal commitment to consistency and correction.”",Prior linked arguments plus chapter steps: The Top of the Hierarchy; What Coherence Is; Two Faces of One Function; Three Objections,book/02-conditionalism/10-against-faith.md; book/02-conditionalism/03-the-three-levels-of-truth.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/19-the-discipline-of-updating.md,Canonical book treatment of Sacred Coherence: A personal commitment to consistency and correction.,"Does the argument establish “A personal commitment to consistency and correction” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,19-the-discipline-of-updating,The Discipline of Updating,"The Discipline of Updating develops the central proposition framed by its subtitle, “Priors, rationalization, and the courage to change your mind.”",Prior linked arguments plus chapter steps: How the Present Colonizes the Past; Rationalization Is Not Rationality; The Quote Einstein Never Said; The Discipline,book/02-conditionalism/12-in-defense-of-bayes.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/18-sacred-coherence.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/10-against-faith.md; book/02-conditionalism/08-what-beliefs-are.md; book/02-conditionalism/21-bayes-in-the-wild.md,"Canonical book treatment of The Discipline of Updating: Priors, rationalization, and the courage to change your mind.","Does the argument establish “Priors, rationalization, and the courage to change your mind” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
02-conditionalism,20-reasonable-disagreement,Reasonable Disagreement,"Reasonable Disagreement develops the central proposition framed by its subtitle, “What Aumann's theorem actually implies.”","Prior linked arguments plus chapter steps: The Theorem; Why Real Disagreements Survive; The Fourth Source; A Feature, Not a Flaw",book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/19-the-discipline-of-updating.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/05-value-and-ethics/11-what-counts-as-harm.md; book/05-value-and-ethics/09-what-counts-as-coercion.md; book/05-value-and-ethics/10-consent-and-property.md,Canonical book treatment of Reasonable Disagreement: What Aumann's theorem actually implies.,"Does the argument establish “What Aumann's theorem actually implies” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,21-bayes-in-the-wild,Bayes in the Wild,"Bayes in the Wild develops the central proposition framed by its subtitle, “A dated ledger, audited as a calibration exercise.”","Prior linked arguments plus chapter steps: What Kind of Probability This Is; The Current Evidential Baseline; A Hypothesis Tree, Not a Binary; Reconstructing the Earlier Prior",book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/12-in-defense-of-bayes.md; book/02-conditionalism/23-deciding-under-uncertainty.md,"Canonical book treatment of Bayes in the Wild: A dated ledger, audited as a calibration exercise.","Does the argument establish “A dated ledger, audited as a calibration exercise” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Applied stress test,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,22-probability-after-probabilism,Probability After Probabilism,"Probability After Probabilism develops the central proposition framed by its subtitle, “The arithmetic begins after the world has been carved.”","Prior linked arguments plus chapter steps: The Pathology Is Not Probability; Events Are Carved, Not Given; Two Failure Modes; An Earned Frame and an Unearned One",book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/13-varieties-of-uncertainty.md; book/02-conditionalism/21-bayes-in-the-wild.md; book/02-conditionalism/06-maps-models-understanding.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/23-deciding-under-uncertainty.md,Canonical book treatment of Probability After Probabilism: The arithmetic begins after the world has been carved.,"Does the argument establish “The arithmetic begins after the world has been carved” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
02-conditionalism,23-deciding-under-uncertainty,Deciding Under Uncertainty,"Deciding Under Uncertainty develops the central proposition framed by its subtitle, “Model uncertainty, tail risks, and policies.”",Prior linked arguments plus chapter steps: What Physics Does With Misbehaving Tails; Why a Cutoff Is Justified; A Paradox the Cutoff Cannot Touch; The Unit of Rational Choice,book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/13-varieties-of-uncertainty.md,"Canonical book treatment of Deciding Under Uncertainty: Model uncertainty, tail risks, and policies.","Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,24-fallibilist-bayesianism,Fallibilist Bayesianism,"Fallibilist Bayesianism develops the central proposition framed by its subtitle, “Bayes within models, criticism between them.”",Prior linked arguments plus chapter steps: The Tribes and Their Common Mistake; The Named Stance; The Cycle; Instruments That Narrow the Gap,book/02-conditionalism/12-in-defense-of-bayes.md; book/02-conditionalism/11-measure-and-credence.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/22-probability-after-probabilism.md; book/02-conditionalism/21-bayes-in-the-wild.md; book/02-conditionalism/25-the-beginning-of-wisdom.md,"Canonical book treatment of Fallibilist Bayesianism: Bayes within models, criticism between them.","Does the argument establish “Bayes within models, criticism between them” under explicit assumptions, rather than relying on definition, analogy, or restatement?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
02-conditionalism,25-the-beginning-of-wisdom,The Beginning of Wisdom,"The Beginning of Wisdom develops the central proposition framed by its subtitle, “Reality, properly understood.”",Prior linked arguments plus chapter steps: The Religious Insight; The Confucian Insight; What Constraint Actually Means; The Human Problem,book/02-conditionalism/19-the-discipline-of-updating.md; book/02-conditionalism/04-when-statements-fail.md; book/02-conditionalism/13-varieties-of-uncertainty.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/20-reasonable-disagreement.md; book/02-conditionalism/07-conditional-realism.md; book/02-conditionalism/06-maps-models-understanding.md; book/02-conditionalism/01-what-is-philosophy-for.md; book/02-conditionalism/23-deciding-under-uncertainty.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/10-against-faith.md,"Canonical book treatment of The Beginning of Wisdom: Reality, properly understood.","Does the argument establish “Reality, properly understood” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Volume conclusion or envoi,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,01-a-cybernetic-lineage,A Cybernetic Lineage,"A Cybernetic Lineage develops the central proposition framed by its subtitle, “From Principia Cybernetica and GEB to Axio.”",Prior linked arguments plus chapter steps: The Worldview That Wanted to Evolve; A Blueprint Before the Materials; The Atlas Misread; What Both Were Reaching For,book/02-conditionalism/01-what-is-philosophy-for.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/05-value-and-ethics/09-what-counts-as-coercion.md; book/05-value-and-ethics/11-what-counts-as-harm.md; book/06-markets-and-money/14-the-cybernetic-ghost-of-satoshi.md; book/03-minds-and-machines/02-what-is-a-model.md; book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md; book/03-minds-and-machines/24-the-dialectic-catalyst.md; book/03-minds-and-machines/30-making-sense-of-pdoom.md,Canonical book treatment of A Cybernetic Lineage: From Principia Cybernetica and GEB to Axio.,"Are the historical examples representative, accurately sourced, and sufficient for the general causal conclusion?",Volume orientation and foundation,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,02-what-is-a-model,What Is a Model?,"What Is a Model? develops the central proposition framed by its subtitle, “Structure, representation, and purpose.”",Prior linked arguments plus chapter steps: Structured Representation; Implicit and Explicit; The Generative Line; Compression and Generalization,book/02-conditionalism/06-maps-models-understanding.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/08-what-beliefs-are.md; book/03-minds-and-machines/03-control-requires-models.md,"Canonical book treatment of What Is a Model?: Structure, representation, and purpose.","Are the proposed conditions necessary, sufficient, operational, and stable across the chapter's hardest boundary cases?",Canonical definition,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,03-control-requires-models,Control Requires Models,"Control Requires Models develops the central proposition framed by its subtitle, “The Good Regulator and its levels.”",Prior linked arguments plus chapter steps: The Good Regulator Theorem; The Tension; Two Levels,book/02-conditionalism/06-maps-models-understanding.md; book/03-minds-and-machines/02-what-is-a-model.md; book/01-physics-of-agency/05-minimal-and-maximal-agents.md; book/02-conditionalism/08-what-beliefs-are.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/03-minds-and-machines/07-consciousness-explained.md,Canonical book treatment of Control Requires Models: The Good Regulator and its levels.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,04-minds-and-agents,Minds and Agents,"Minds and Agents develops the central proposition framed by its subtitle, “The vehicle and the driver.”",Prior linked arguments plus chapter steps: What Makes an Agent; What Makes a Mind; The Ladder; Substrate and Portability,book/01-physics-of-agency/05-minimal-and-maximal-agents.md; book/03-minds-and-machines/03-control-requires-models.md; book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/23-the-agency-criterion.md,Canonical book treatment of Minds and Agents: The vehicle and the driver.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,05-the-origin-of-meaning,The Origin of Meaning,"The Origin of Meaning develops the central proposition framed by its subtitle, “Semiosis and the deep past of the future.”",Prior linked arguments plus chapter steps: The First Interpreter; The Second Great Inversion,book/01-physics-of-agency/22-constructors.md; book/02-conditionalism/05-truth-machines.md; book/01-physics-of-agency/18-creativity-as-virtual-evolution.md,Canonical book treatment of The Origin of Meaning: Semiosis and the deep past of the future.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,06-the-geometry-of-inner-speech,The Geometry of Inner Speech,"The Geometry of Inner Speech develops the central proposition framed by its subtitle, “Projection, not narration.”","Prior linked arguments plus chapter steps: From Full Speech to Inner Speech; Projection, Not Prediction; The Auditory Cortex as a Projection Surface; One Operator Over Live and Stored Traces",book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/21-fluency-and-its-limits.md,"Canonical book treatment of The Geometry of Inner Speech: Projection, not narration.","Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,07-consciousness-explained,Consciousness Explained,The Modeler-Schema Theory specifies a candidate functional architecture and test for consciousness while leaving its identity with phenomenality as a further premise.,"Prior linked arguments plus chapter steps: Three Agents, Three Schemas, One Experiencer; The Controller's Blind Spot; Why Qualia Exist; A Rare Thing: A Falsifiable Experiment",book/03-minds-and-machines/09-mirrors-of-the-mind.md; book/01-physics-of-agency/23-life-consciousness-time.md; book/03-minds-and-machines/03-control-requires-models.md; book/03-minds-and-machines/08-beyond-dennett.md,Canonical book treatment of Consciousness Explained: The Modeler-Schema Theory.,"Does recursive self-modeling explain phenomenal experience or only access, report, and functional self-representation?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
03-minds-and-machines,08-beyond-dennett,Beyond Dennett,"Beyond Dennett develops the central proposition framed by its subtitle, “The error of architectural scope.”",Prior linked arguments plus chapter steps: The Narrator He Found; What the Experiencer Must Have; Explaining His Data; The Function He Couldn't Find,book/03-minds-and-machines/06-the-geometry-of-inner-speech.md; book/03-minds-and-machines/09-mirrors-of-the-mind.md,Canonical book treatment of Beyond Dennett: The error of architectural scope.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,09-mirrors-of-the-mind,Mirrors of the Mind,"Mirrors of the Mind develops the central proposition framed by its subtitle, “Consciousness as self-model, objections answered.”","Prior linked arguments plus chapter steps: An Agent That Models Itself; Qualia Under Transparency; Two Vantages, One Process; Dissolved, Not Solved",book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/08-beyond-dennett.md; book/02-conditionalism/08-what-beliefs-are.md,"Canonical book treatment of Mirrors of the Mind: Consciousness as self-model, objections answered.","Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,10-why-zombies-dont-evolve,Why Zombies Don't Evolve,"Why Zombies Don't Evolve develops the central proposition framed by its subtitle, “What consciousness is for.”",Prior linked arguments plus chapter steps: Scarcity Forces Selection; The Comparison Format; The Hard Problem and the Demand for a Bridge; The Thin Zombie and the Thick Zombie,book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/09-mirrors-of-the-mind.md; book/03-minds-and-machines/13-the-sentience-metric.md,Canonical book treatment of Why Zombies Don't Evolve: What consciousness is for.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
03-minds-and-machines,11-the-sentience-ladder,The Sentience Ladder,"Awareness, sentience, sapience, and reflective agency are distinct capacities with different epistemic and moral consequences.",Prior linked arguments plus chapter steps: Awareness Is the First Rung; Sentience and Sapience Are Orthogonal — In Principle; Thinking Versus Feeling Is a False Divide; Why the Ladder Matters,book/03-minds-and-machines/10-why-zombies-dont-evolve.md; book/03-minds-and-machines/12-what-is-suffering.md; book/03-minds-and-machines/13-the-sentience-metric.md,"Canonical book treatment of The Sentience Ladder: Awareness, sentience, sapience — and thinking versus feeling.","Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,12-what-is-suffering,What Is Suffering?,"What Is Suffering? develops the central proposition framed by its subtitle, “A proposed definition under the problem of other minds.”",Prior linked arguments plus chapter steps: A First Attempt; Stress Tests; The Man in the Living Room; The Paradox,book/05-value-and-ethics/11-what-counts-as-harm.md; book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/11-the-sentience-ladder.md; book/03-minds-and-machines/13-the-sentience-metric.md,Canonical book treatment of What Is Suffering?: A proposed definition under the problem of other minds.,"Are the proposed conditions necessary, sufficient, operational, and stable across the chapter's hardest boundary cases?",Canonical definition,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,13-the-sentience-metric,The Sentience Metric,"Integration, persistent self-world binding, and valenced regulation are theory-dependent evidentiary tests that update sentience credence without directly measuring experience.",Prior linked arguments plus chapter steps: Test One: Phenomenal Integration; Test Two: Self–World Binding; Test Three: Valenced Coherence; The Triad of Failure,book/03-minds-and-machines/11-the-sentience-ladder.md; book/03-minds-and-machines/12-what-is-suffering.md; book/03-minds-and-machines/10-why-zombies-dont-evolve.md; book/03-minds-and-machines/14-the-ai-welfare-trap.md; book/05-value-and-ethics/26-sapient-agency-realism.md,Canonical book treatment of The Sentience Metric: Three evidentiary tests for artificial systems.,Can valenced experience be measured without circular behavioral proxies or unearned substrate assumptions?,Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
03-minds-and-machines,14-the-ai-welfare-trap,The AI Welfare Trap,"The AI Welfare Trap develops the central proposition framed by its subtitle, “Performance is not personhood.”",Prior linked arguments plus chapter steps: Lerchner's Useful Attack; Where Lerchner Overstates the Case; Agency Comes Before Sovereignty Claims; Human Selves Are Messy and Still Real,book/03-minds-and-machines/13-the-sentience-metric.md; book/05-value-and-ethics/13-sapientism.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/33-the-politics-of-safety.md; book/03-minds-and-machines/27-artificial-intimacy.md; book/05-value-and-ethics/26-sapient-agency-realism.md,Canonical book treatment of The AI Welfare Trap: Performance is not personhood.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
03-minds-and-machines,15-intelligence-is-a-game-we-play,Intelligence Is a Game We Play,"Intelligence is effective performance relative to a specified game and its constraints, not a context-free scalar essence.",Prior linked arguments plus chapter steps: Answering Wittgenstein; Intelligence Defined Through Games; The Oracle and the Agent; Intelligence as a Hyperobject,book/01-physics-of-agency/05-minimal-and-maximal-agents.md; book/03-minds-and-machines/16-in-defense-of-iq.md; book/03-minds-and-machines/17-universality-and-generality.md,Canonical book treatment of Intelligence Is a Game We Play: The strategic core.,Does game-relative performance preserve useful cross-domain comparisons without making intelligence definitionally arbitrary?,Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,16-in-defense-of-iq,In Defense of IQ,"In Defense of IQ develops the central proposition framed by its subtitle, “A calibrated score, not a cosmic rank.”","Prior linked arguments plus chapter steps: Intelligence Is Game-Relative; The Game IQ Measures; Anchored, Not Arbitrary; When Scores Escape Their Game",book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md; book/05-value-and-ethics/01-the-myth-of-objective-value.md,"Canonical book treatment of In Defense of IQ: A calibrated score, not a cosmic rank.","Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,17-universality-and-generality,Universality and Generality,"Universality and Generality develops the central proposition framed by its subtitle, “Two fallacies about the space of minds.”","Prior linked arguments plus chapter steps: Two Words, Two Properties; The Parity Fallacy; The Illusion Fallacy; One Confusion, Two Errors",book/02-conditionalism/04-when-statements-fail.md; book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md,Canonical book treatment of Universality and Generality: Two fallacies about the space of minds.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,4,review
03-minds-and-machines,18-tool-bias,Tool Bias,"Tool Bias develops the central proposition framed by its subtitle, “When intelligence flatters its own instruments.”",Prior linked arguments plus chapter steps: Every Lens Is an Attractor; First Error: Correlated Channels Dressed as Independent Witnesses; Second Error: Silence Read as Coordination; Third Error: The Epicycle,book/06-markets-and-money/17-mechanisms-for-honest-values.md; book/02-conditionalism/22-probability-after-probabilism.md; book/02-conditionalism/19-the-discipline-of-updating.md; book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md; book/03-minds-and-machines/19-fallacies-of-machine-understanding.md,Canonical book treatment of Tool Bias: When intelligence flatters its own instruments.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
03-minds-and-machines,19-fallacies-of-machine-understanding,Fallacies of Machine Understanding,"Fallacies of Machine Understanding develops the central proposition framed by its subtitle, “The Chinese Room and its descendants.”",Prior linked arguments plus chapter steps: The Man Is Not the Mind; Concepts Are Not Vectors; The Wet Chauvinist; The Machine as Photocopier,book/03-minds-and-machines/05-the-origin-of-meaning.md; book/03-minds-and-machines/02-what-is-a-model.md; book/06-markets-and-money/24-the-end-of-intellectual-property.md; book/03-minds-and-machines/20-pearl-and-the-machine.md,Canonical book treatment of Fallacies of Machine Understanding: The Chinese Room and its descendants.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; review this sequence for consolidation in Phase 2.,4,review
03-minds-and-machines,20-pearl-and-the-machine,Pearl and the Machine,"Pearl and the Machine develops the central proposition framed by its subtitle, “Causal reasoning and the Bitter Lesson.”","Prior linked arguments plus chapter steps: What the Machine Is Doing; The Machine's Case, Escalating; The Bitter Lesson as the Trend Behind It; Creativity Is the Same Engine",book/03-minds-and-machines/21-fluency-and-its-limits.md; book/01-physics-of-agency/18-creativity-as-virtual-evolution.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/19-fallacies-of-machine-understanding.md,Canonical book treatment of Pearl and the Machine: Causal reasoning and the Bitter Lesson.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; review this sequence for consolidation in Phase 2.,4,review
03-minds-and-machines,21-fluency-and-its-limits,Fluency and Its Limits,"Fluency and Its Limits develops the central proposition framed by its subtitle, “What the machines can and cannot say.”",Prior linked arguments plus chapter steps: Fluency Forbids Stopping; Simulated Accountability; Interpolation Within Given Manifolds; The Symmetry of Belief,book/03-minds-and-machines/10-why-zombies-dont-evolve.md; book/03-minds-and-machines/06-the-geometry-of-inner-speech.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/02-conditionalism/08-what-beliefs-are.md,Canonical book treatment of Fluency and Its Limits: What the machines can and cannot say.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; review this sequence for consolidation in Phase 2.,5,review
03-minds-and-machines,22-the-turing-test-and-its-successors,The Turing Test and Its Successors,"The Turing Test and Its Successors develops the central proposition framed by its subtitle, “From imitation to coherence.”","Prior linked arguments plus chapter steps: Turing's Bayesian Leap; The Prize That Measured the Wrong Thing; The Threshold, Crossed; The Successor Test",book/02-conditionalism/11-measure-and-credence.md; book/03-minds-and-machines/11-the-sentience-ladder.md; book/03-minds-and-machines/20-pearl-and-the-machine.md; book/03-minds-and-machines/21-fluency-and-its-limits.md; book/03-minds-and-machines/23-the-agency-criterion.md,Canonical book treatment of The Turing Test and Its Successors: From imitation to coherence.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; review this sequence for consolidation in Phase 2.,4,review
03-minds-and-machines,23-the-agency-criterion,The Agency Criterion,"Agency should be tested at the deployed-system level through persistence, preference integrity, counterfactual ownership, and consequence-bearing control.","Prior linked arguments plus chapter steps: Two Optimizers, Two Kinds of Product; The Criterion, Stated; Jaggedness Is Evidence, Not the Criterion; Ghosts and Credulity",book/01-physics-of-agency/05-minimal-and-maximal-agents.md; book/03-minds-and-machines/04-minds-and-agents.md; book/03-minds-and-machines/14-the-ai-welfare-trap.md; book/05-value-and-ethics/13-sapientism.md; book/06-markets-and-money/17-mechanisms-for-honest-values.md; book/03-minds-and-machines/24-the-dialectic-catalyst.md,Canonical book treatment of The Agency Criterion: Thinking without choosing.,"Can ownership of an optimization loop be operationally tested, especially for composite, trained, or partially autonomous systems?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,5,review
03-minds-and-machines,24-the-dialectic-catalyst,The Dialectic Catalyst,"The Dialectic Catalyst develops the central proposition framed by its subtitle, “A partner that is not an agent.”","Prior linked arguments plus chapter steps: The Practice; The Correction; The Persistent Catalyst; The Risks, Named Early",book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/28-programming-after-programming.md; book/03-minds-and-machines/25-the-discipline-of-thinking-with-ai.md,Canonical book treatment of The Dialectic Catalyst: A partner that is not an agent.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,25-the-discipline-of-thinking-with-ai,The Discipline of Thinking With AI,"The Discipline of Thinking With AI develops the central proposition framed by its subtitle, “Practices against the mirror.”","Prior linked arguments plus chapter steps: Five Objections, Five Disciplines; Dialectic or Spiral; Narcissus at the Interface; Catalyst or Crutch",book/03-minds-and-machines/24-the-dialectic-catalyst.md; book/02-conditionalism/19-the-discipline-of-updating.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/27-artificial-intimacy.md,Canonical book treatment of The Discipline of Thinking With AI: Practices against the mirror.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,5,review
03-minds-and-machines,26-catalysts-in-the-wild,Catalysts in the Wild,"Catalysts in the Wild develops the central proposition framed by its subtitle, “From theorem-proving to triadic intelligence.”",Prior linked arguments plus chapter steps: A Theorem Gets Unstuck; Engineering the Interpreter; When Coherence Became Cheap; Divergence as Instrument,book/03-minds-and-machines/24-the-dialectic-catalyst.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/25-the-discipline-of-thinking-with-ai.md; book/02-conditionalism/20-reasonable-disagreement.md,Canonical book treatment of Catalysts in the Wild: From theorem-proving to triadic intelligence.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Applied stress test,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,27-artificial-intimacy,Artificial Intimacy,"Artificial Intimacy develops the central proposition framed by its subtitle, “The wireborn and the hero's delusion.”",Prior linked arguments plus chapter steps: A Lineage of Projection; The Ladder of Intimacy; What the Creator Owes; The Hero's Delusion,book/03-minds-and-machines/24-the-dialectic-catalyst.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/13-the-sentience-metric.md; book/03-minds-and-machines/14-the-ai-welfare-trap.md; book/06-markets-and-money/05-attention-is-an-economy.md; book/03-minds-and-machines/25-the-discipline-of-thinking-with-ai.md,Canonical book treatment of Artificial Intimacy: The wireborn and the hero's delusion.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
03-minds-and-machines,28-programming-after-programming,Programming After Programming,"Programming After Programming develops the central proposition framed by its subtitle, “Computational governance.”",Prior linked arguments plus chapter steps: What Is Actually Changing; The Bottleneck Moves; The Category Error; Four Constraint Domains,book/06-markets-and-money/16-ornament-and-advantage.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/03-minds-and-machines/21-fluency-and-its-limits.md; book/03-minds-and-machines/29-the-ai-fork-is-about-agency.md,Canonical book treatment of Programming After Programming: Computational governance.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?","Application, synthesis, or transition",Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
